年,月,日,描述,类别,金额,纬度,经度
2023,3,18,笔 文件夹,🛸其他,JP¥1760,35.1682783959052,136.9068113955330
2023,3,18,東大合格生のノートはかならず美しい 徹底分析,📖自我投资,JP¥1210,35.16716596208070,136.9055815973660
2023,3,18,牛肉饭,🛒生活费,JP¥710,35.16670338527710,136.906000748697
2023,3,18,超市,🛒生活费,JP¥3260,35.1534320246481,136.9502281449580
2023,3,19,写字垫板,🛸其他,JP¥511,35.15204430133660,136.9579781684220
2023,3,19,味增汤,🛒生活费,JP¥236,35.14308498211300,136.9556195859750
2023,3,19,吉野家,🛒生活费,JP¥877,35.14303145388720,136.9556555857140
2023,3,19,口罩,🛒生活费,JP¥427,35.14512620869570,136.9578443562030
2023,3,20,咖啡 三明治,🛒生活费,JP¥408,35.15392612147870,136.9631371120630
2023,3,20,活页纸 单词卡 替芯,🛸其他,JP¥773,35.15669341466440,136.9653851444480
2023,3,20,三明治,🛒生活费,JP¥298,35.15453963907230,136.9614204257320
2023,3,20,文件夹,🛸其他,JP¥135,35.13683067390340,136.9631317199940
2023,3,20,米5kg，油,🛒生活费,JP¥2707,35.15216254545350,136.9581342772680
2023,3,21,超市,🛒生活费,JP¥621,35.15208059281280,136.9580936925280
2023,3,21,雨伞,🛒生活费,JP¥711,35.15416688175150,136.9633030853810
2023,3,21,活页夹,🛸其他,JP¥536,35.13663873322870,136.9630966530410
2023,3,21,交通,🛸其他,JP¥660,35.13693363696080,136.9632510085000
2023,3,21,现金袋,🛸其他,JP¥756,35.13684131555630,136.9631929314640
2023,3,22,钱包手帐,🛒生活费,JP¥27416,35.15458497689750,136.961451232527
2023,4,1,便当,🛒生活费,JP¥429,35.15207061770660,136.9580963135970
2023,4,3,咖啡,🛒生活费,JP¥110,35.15409521537560,136.9630766529390
2023,4,3,食堂,🛒生活费,JP¥517,35.153318961518400,136.96267712085800
2023,4,2,Ceralabo 洗面奶 蓝瓶爽肤水,💊健康医药费,JP¥6400,35.15204430133660,136.9579781684220
2023,4,1,鞋子,👔服饰•趣味费,JP¥8800,35.187396210823200,136.9441656928060
2023,4,1,物产,🛒生活费,JP¥3780,35.165454582909000,136.9125054532250
2023,4,1,牛肉饭,🛒生活费,JP¥370,35.16676642320940,136.90583284817100
2023,4,1,咖啡抽出杯,🛒生活费,JP¥990,35.16850110727700,136.90636768104400
2023,4,1,超市买菜,🛒生活费,JP¥4158,35.15353715516180,136.9504021481960
2023,4,1,八百鲜,🛒生活费,JP¥1462,35.15190328149560,136.95145334464500
2023,4,1,理发,🛒生活费,JP¥1350,35.13702665739300,136.9633508913190
2023,4,1,猕猴桃,🛒生活费,JP¥645,35.13712266113110,136.9629426837280
2023,4,1,看眼科,💊健康医药费,JP¥1230,35.161085130012,136.97184526574600
2023,4,1,交通,🛒生活费,JP¥620,35.15204430133660,136.9579781684220
2023,4,1,咖啡,🛒生活费,JP¥600,35.14529607054630,136.95890064266000
2023,4,7,三明治 饭团,🛒生活费,JP¥586,35.1521240018879,136.9581291767880
2023,4,7,研究室聚餐,🍻社交费,JP¥1000,35.15084287370770,136.96566628613600
2023,4,8,洗洁精,🛒生活费,JP¥690,35.15331541191340,136.9503197540870
2023,4,8,超市买菜,🛒生活费,JP¥2979,35.15354478269360,136.9504732267340
2023,4,9,便当 烤鱼,🛒生活费,JP¥818,35.15207090884000,136.9581661374650
2023,4,10,蛋糕,🛒生活费,JP¥198,35.15417827036970,136.9633565041550
2023,4,11,糖 饭团,🛒生活费,JP¥420,35.15416312538780,136.9631402810840
2023,4,12,超市买菜,🛒生活费,JP¥2751,35.15326230604010,136.9503524348930
2023,4,13,汉堡肉,🍻社交费,JP¥1380,35.15219688884470,136.9659243432220
2023,4,16,意大利面 坚果,🛒生活费,JP¥1192,35.13700931450800,136.9633281536430
2023,4,16,粗大垃圾券,🛒生活费,JP¥250,35.14031777129720,136.95951521250800
2023,4,16,安眠药,💊健康医药,JP¥1547,35.14494595586810,136.9574831799950
2023,4,16,超市买菜,🛒生活费,JP¥4912,35.15345587314050,136.9504270011230
2023,4,18,饭团,🛒生活费,JP¥115,35.15405297748290,136.9629827981230
2023,4,18,便当,🛒生活费,JP¥518,35.15413515237500,136.9631060606300
2023,4,19,便当,🛒生活费,JP¥490,35.15412526027590,136.96311997965
2023,4,19,耳塞,🛸其他,CN¥187.08,35.15458320099470,136.9614917374360
2023,4,19,便当,🛒生活费,JP¥560,35.1520554967629,136.9580610638530
2023,4,20,食堂,🛒生活费,JP¥715,35.15647902634160,136.966124750591
2023,4,21,咖啡,🛒生活费,JP¥110,35.15388256236910,136.962965515526
2023,4,22,看眼睛,💊健康医药,JP¥1180,35.16094222398420,136.9716330940520
2023,4,22,KFC,🛒生活费,JP¥1190,35.1640173529054,136.9632655718920
2023,4,22,八百鲜,🛒生活费,JP¥3355,35.15204974453440,136.9512912166650
2023,4,22,超市买菜,🛒生活费,JP¥3597,35.15341137390860,136.9504550305680
2023,4,22,衣服漂白剂,🛒生活费,JP¥327,35.15341577125720,136.9503354146540
2023,4,23,便当,🛒生活费,JP¥668,35.15416521894650,136.9634070604680
2023,4,24,饭团,🛒生活费,JP¥160,35.15407855132090,136.9630174207280
2023,4,24,咖啡 便当,🛒生活费,JP¥400,35.1572315946414,136.9585746573360
2023,4,25,三明治,🍻社交,JP¥291,35.16395527823550,136.9636078757130
2023,4,25,去程车票,🍻社交,JP¥8190,35.17131734119230,136.8805291329920
2023,4,25,水,🍻社交,JP¥105,34.98510141907530,135.7585488457630
2023,4,25,地铁,🍻社交,JP¥270,34.98510460229360,135.7586673880150
2023,4,25,蛋糕,🍻社交,JP¥1200,35.67457968787660,135.2912692970950
2023,4,25,烧鱼定食,🍻社交,JP¥3000,35.67676058952590,135.2872829200510
2023,4,25,鲜贝 泡面,🍻社交,JP¥450,35.67578827034280,135.2871645056970
2023,4,26,坐船,🍻社交,JP¥1000,35.67427177451150,135.2880329546850
2023,4,26,咖啡,🍻社交,JP¥130,35.6758783864541,135.2880487818840
2023,4,26,午饭,🍻社交,JP¥1800,35.67561134038730,135.2878026955540
2023,4,26,公交,🍻社交,JP¥200,35.67631707575280,135.2874192477250
2023,4,26,咖啡,🍻社交,JP¥450,35.67584464289700,135.2869374702030
2023,4,26,饼干,🍻社交,JP¥540,35.67584514760990,135.2870488969480
2023,4,26,鲸鱼海参饭,🍻社交,JP¥2250,35.67497192750480,135.289192713378
2023,4,27,咖啡,🍻社交,JP¥280,35.67593290613280,135.2872478650050
2023,4,27,住宿费,🍻社交,JP¥15950,35.67580977663560,135.2878491379190
2023,4,27,冰箱贴,🍻社交,JP¥500,35.67580962646130,135.2878437776360
2023,4,27,螃蟹乌冬面,🍻社交,JP¥2000,35.55785305562040,135.1830912517880
2023,4,27,天桥立お土産,🍻社交,JP¥705,35.55782776655660,135.1827772137650
2023,4,27,返程车票,🍻社交,JP¥7340,35.55779452749590,135.1826362020740
2023,4,27,物产,🛒生活费,JP¥5420,35.17051679551150,136.8760641386150
2023,4,27,地铁,🍻社交,JP¥270,35.15406079759980,136.9656233728600
2023,4,27,公交,🍻社交,JP¥240,35.15373211822950,136.9662762155170
2023,4,28,食堂,🛒生活费,JP¥572,35.15352094251220,136.9627769081390
2023,4,28,烫伤药,💊健康医药,JP¥324,35.14305722591630,136.9557108678960
2023,4,28,烤肉,🍻社交,JP¥3900,35.15207567426110,136.9581340664540
